source,destination
external_cdn_lb_with_backend_bucket,lb/external_cdn_lb_with_backend_bucket
external_http_lb_bucket_backend,lb/external_http_lb_bucket_backend
external_http_lb_mig_backend,lb/external_http_lb_mig_backend
external_http_lb_mig_backend_custom_header,lb/external_http_lb_mig_backend_custom_header
external_ssl_proxy_lb_mig_backend,lb/external_ssl_proxy_lb_mig_backend
external_ssl_proxy_lb_mig_backend_custom_header,lb/external_ssl_proxy_lb_mig_backend_custom_header
external_tcp_proxy_lb_mig_backend,lb/external_tcp_proxy_lb_mig_backend
external_tcp_proxy_lb_mig_backend_custom_header,lb/external_tcp_proxy_lb_mig_backend_custom_header
int_https_lb_https_redirect,lb/int_https_lb_https_redirect
internal_http_lb_with_mig_backend,lb/internal_http_lb_with_mig_backend
internal_tcp_udp_lb_with_mig_backend,lb/internal_tcp_udp_lb_with_mig_backend
regional_external_http_load_balancer,lb/regional_external_http_load_balancer
shared_vpc_http_ilb_with_mig_backend,lb/shared_vpc_http_ilb_with_mig_backend
shared_vpc_http_ilb_with_mig_backend_basic_example,lb/shared_vpc_http_ilb_with_mig_backend_basic_example
shared_vpc_http_ilb_with_mig_backend_cross_reference_example,lb/shared_vpc_http_ilb_with_mig_backend_cross_reference_example
shared_vpc_https_ilb_with_mig_backend_basic_example,lb/shared_vpc_https_ilb_with_mig_backend_basic_example
shared_vpc_https_ilb_with_mig_backend_cross_reference_example,lb/shared_vpc_https_ilb_with_mig_backend_cross_reference_example
target_grpc_proxy_basic,lb/target_grpc_proxy_basic
target_http_proxy_basic,lb/target_http_proxy_basic
target_http_proxy_https_redirect,lb/target_http_proxy_https_redirect
target_https_proxy_basic,lb/target_https_proxy_basic
target_ssl_proxy_basic,lb/target_ssl_proxy_basic
target_tcp_proxy_basic,lb/target_tcp_proxy_basic
url_map_bucket_and_service,lb/url_map_bucket_and_service
