source,destination
media_cdn_keyset,media_cdn/keyset
media_cdn_quickstart,media_cdn/quickstart
media_cdn_security_policies,media_cdn/security_policies
compute_disk,compute/disk
compute_packet_mirroring_full,compute/packet_mirroring_full
compute_reservation,compute/reservation
compute_run_shutdown_scripts,compute/run_shutdown_scripts
autoscaler_instance_group,compute/autoscaler_instance_group
instance_custom_hostname,compute/instance_custom_hostname
instance_virtual_display_enabled,compute/instance_virtual_display_enabled
os_login,compute/os_login
region_autoscaler_basic,compute/region_autoscaler_basic
spot_instance_basic,compute/spot_instance_basic
dns_managed_zone_basic,dns/managed_zone_basic
dns_managed_zone_private,dns/managed_zone_private
dns_managed_zone_private_forwarding,dns/managed_zone_private_forwarding
dns_managed_zone_private_peering,dns/managed_zone_private_peering
dns_managed_zone_quickstart,dns/managed_zone_quickstart
dns_managed_zone_service_directory,dns/managed_zone_service_directory
dns_policy_basic,dns/policy_basic
dns_record_set_basic,dns/record_set_basic
dns_response_policy_basic,dns/response_policy_basic
dns_response_policy_rule_basic,dns/response_policy_rule_basic
